PICTURE,TITLE,PRICE,RAITING,PHONE,LINK,POSTAL_CODE,ADRESS,VILLE
,"Skoda Octavia Combi Elegance Navi,Xenon",12 890 € (TTC),4.7,+49 (0)9664 9539281,"https://www.automobile.fr/Voiture/Skoda-Octavia-Combi-Elegance-Navi,Xenon/vhc:car,dmg:false/pg:vipcar/269468000.html",,Im Gewerbegebiet 16A DE-92256 Hahnbach Allemagne,
,"Skoda Karoq 1.0 TSi DSG Style *249,- EUR",26 935 € (TTC),4.9,+49 (0)5205 1006888,"https://www.automobile.fr/Voiture/Skoda-Karoq-1.0-TSi-DSG-Style-249,-EUR/vhc:car,dmg:false/pg:vipcar/264781851.html",,Industriestrasse 19 DE-33689 Bielefeld Allemagne,
,"Volkswagen Arteon 2.0 TDi Elegance 4-Motion *289,- €",42 935 € (TTC),4.9,+49 (0)5205 1006888,"https://www.automobile.fr/Voiture/Volkswagen-Arteon-2.0-TDi-Elegance-4-Motion/vhc:car,dmg:false/pg:vipcar/264274272.html",,Industriestrasse 19 DE-33689 Bielefeld Allemagne,
,Mercedes-Benz Roadster SLK 200 BlueE. AMG Sport Paket Edition1,21 990 € (TTC),4.4,+49 (0)7022 279805050,"https://www.automobile.fr/Voiture/Mercedes-Benz-Roadster-SLK-200-BlueE.-AMG/vhc:car,dmg:false/pg:vipcar/271845825.html",,Eichendorffstr. 30 DE-72622 Nürtingen bei Stuttgart Allemagne,
,Audi A4 Avant 2.0TDI UMWELTPRÄMIE ASSISTENZPAKET,28 890 € (TTC),4.8,+49 (0)2525 959003339,"https://www.automobile.fr/Voiture/Audi-A4-Avant-2.0TDI-UMWELTPR%C3%84MIE/vhc:car,dmg:false/pg:vipcar/272288317.html",,Hauptstrasse 190 DE-59269 Neubeckum Allemagne,
,Volkswagen Golf Plus 1.6 TDI DSG Match Xenon Navigation PDC,11 490 € (TTC),4.7,+49 (0)371 23450257,"https://www.automobile.fr/Voiture/Volkswagen-Golf-Plus-1.6-TDI-DSG-Match-Xenon/vhc:car,dmg:false/pg:vipcar/267870952.html",,Chemnitztalstraße 75 DE-09114 Chemnitz Allemagne,
,"Seat Arona 1.0 TSi Style *179,- EUR",17 435 € (TTC),4.9,+49 (0)5205 1006888,"https://www.automobile.fr/Voiture/Seat-Arona-1.0-TSi-Style-179,-EUR/vhc:car,dmg:false/pg:vipcar/266218173.html",,Industriestrasse 19 DE-33689 Bielefeld Allemagne,
,Skoda Fabia 1.0 TSI Ambition Ambition,13 950 € (TTC),4.9,+49 (0)5205 1006888,"https://www.automobile.fr/Voiture/Skoda-Fabia-1.0-TSI-Ambition-Ambition/vhc:car,dmg:false/pg:vipcar/271948800.html",,Industriestrasse 19 DE-33689 Bielefeld Allemagne,
,Nissan Juke Acenta X-Tronic Navi PDC Kamera,12 990 € (TTC),4.4,+49 (0)7022 7188937,"https://www.automobile.fr/Voiture/Nissan-Juke-Acenta-X-Tronic-Navi-PDC-Kamera/vhc:car,dmg:false/pg:vipcar/268713062.html",,Eichendorffstr. 30 DE-72622 Nürtingen bei Stuttgart Allemagne,
,Skoda Fabia 1.0 TSi Style,14 935 € (TTC),4.9,+49 (0)5205 1006888,"https://www.automobile.fr/Voiture/Skoda-Fabia-1.0-TSi-Style/vhc:car,dmg:false/pg:vipcar/271948798.html",,Industriestrasse 19 DE-33689 Bielefeld Allemagne,
,Peugeot 508 HDi FAP 160 Automatik Active Head-Up Navi,10 490 € (TTC),4.7,+49 (0)371 23450257,"https://www.automobile.fr/Voiture/Peugeot-508-HDi-FAP-160-Automatik-Active-Head/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/271389856.html",,Chemnitztalstraße 75 DE-09114 Chemnitz Allemagne,
,Mercedes-Benz Roadster SLK 200 BlueE. AMG Sport Paket Edition1,21 990 € (TTC),4.4,+49 (0)7022 279805050,"https://www.automobile.fr/Voiture/Mercedes-Benz-Roadster-SLK-200-BlueE.-AMG/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/271845825.html",,Eichendorffstr. 30 DE-72622 Nürtingen bei Stuttgart Allemagne,
,Audi A4 Avant 2.0TDI UMWELTPRÄMIE ASSISTENZPAKET,28 890 € (TTC),4.8,+49 (0)2525 959003339,"https://www.automobile.fr/Voiture/Audi-A4-Avant-2.0TDI-UMWELTPR%C3%84MIE/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/272288317.html",,Hauptstrasse 190 DE-59269 Neubeckum Allemagne,
,Volkswagen Golf Plus 1.6 TDI DSG Match Xenon Navigation PDC,11 490 € (TTC),4.7,+49 (0)371 23450257,"https://www.automobile.fr/Voiture/Volkswagen-Golf-Plus-1.6-TDI-DSG-Match-Xenon/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/267870952.html",,Chemnitztalstraße 75 DE-09114 Chemnitz Allemagne,
,Volkswagen Vw golf tdi,1 200 € (TTC),,+49 (0)172 8003290,"https://www.automobile.fr/Voiture/Volkswagen-Vw-golf-tdi/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/272538160.html",, ,
,Ford Mustang Coupe 2.3 EcoBoost Aut. Navi* Premium*,34 490 € (TTC),4.8,+49 (0)291 2025980,"https://www.automobile.fr/Voiture/Ford-Mustang-Coupe-2.3-EcoBoost-Aut.-Navi/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/272538161.html",,Schneidweg 16 DE-59872 Meschede/NRW Allemagne,
,Opel Insignia 1.6 Klima,6 990 € (TTC),5,+49 (0)355 8668001113,"https://www.automobile.fr/Voiture/Opel-Insignia-1.6-Klima/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/272538162.html",,Sachsendorfer Strasse 6 b DE-03051 Cottbus Allemagne,
,Mercedes-Benz GLC 250 d 4M AMG Comand LED Distronic PanoSD,47 290 € (TTC),4.2,+49 (0)6021 36160970,"https://www.automobile.fr/Voiture/Mercedes-Benz-GLC-250-d-4M-AMG-Comand-LED/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/272538163.html",,Weichertstrasse 13 DE-63741 Aschaffenburg Allemagne,
,Opel Vectra 1.6,250 € (TTC),,+49 0152 2792945,"https://www.automobile.fr/Voiture/Opel-Vectra-1.6/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/272538165.html",, ,
,Volkswagen Passat Variant Highline *guter Zustand*,9 690 € (TTC),4.2,+49 (0)911 9615201,"https://www.automobile.fr/Voiture/Volkswagen-Passat-Variant-Highline-guter/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/272538174.html",,Nürnberger Str. 59 DE-90513 Zirndorf Allemagne,
,"Audi Audi A3  1,6  fest Preis",1 300 € (TTC),,+49 (0)1573 3001620,"https://www.automobile.fr/Voiture/Audi-Audi-A3-1,6-fest-Preis/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/272538176.html",, ,
,"Dacia Duster I, dCi 110 FAP 4x2 EDC Prestige",17 000 € (TTC),,+49 (0)176 57760059,"https://www.automobile.fr/Voiture/Dacia-Duster-I,-dCi-110-FAP-4x2-EDC-Prestige/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/272538177.html",,Kevin Schmale DE-58452 Witten Allemagne,
,Opel Insignia 2.0 D GS Innov. LED/Nav./Kam./Einparkh.,21 950 € (TTC),4.9,+49 (0)5903 258981555,"https://www.automobile.fr/Voiture/Opel-Insignia-2.0-D-GS-Innov.-LED-Nav.-Kam./vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/272538168.html",,Pliniusstraße 4 DE-48488 Emsbüren Allemagne,
,Mercedes-Benz Roadster SLK 200 BlueE. AMG Sport Paket Edition1,21 990 € (TTC),4.4,+49 (0)7022 279805050,"https://www.automobile.fr/Voiture/Mercedes-Benz-Roadster-SLK-200-BlueE.-AMG/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/271845825.html",,Eichendorffstr. 30 DE-72622 Nürtingen bei Stuttgart Allemagne,
,Audi A4 Avant 2.0TDI UMWELTPRÄMIE ASSISTENZPAKET,28 890 € (TTC),4.8,+49 (0)2525 959003339,"https://www.automobile.fr/Voiture/Audi-A4-Avant-2.0TDI-UMWELTPR%C3%84MIE/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/272288317.html",,Hauptstrasse 190 DE-59269 Neubeckum Allemagne,
,Ford Fusion 1.6 +,1 500 € (TTC),4.4,+49 (0)3643 878015205,"https://www.automobile.fr/Voiture/Ford-Fusion-1.6/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/272538170.html",,Querenstr 10 DE-99428 Nohra Allemagne,
,BMW Bmw E46  320d Lifestyle,3 190 € (TTC),,+49 (0)177 9163987,"https://www.automobile.fr/Voiture/BMW-Bmw-E46-320d-Lifestyle/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/272538171.html",, ,
,Volkswagen VW Golf Syncro mit TÜV bis 2020,1 650 € (TTC),,+49 (0)162 7351950,"https://www.automobile.fr/Voiture/Volkswagen-VW-Golf-Syncro-mit-T%C3%9CV-bis-2020/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/272538172.html",, ,
,Volkswagen T6 Multivan DSG 4MOTION Leder AHK Bluetooth Navi,44 890 € (TTC),4.8,+49 (0)5731 496944449,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-DSG-4MOTION-Leder-AHK/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/272538195.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan Highline Bluetooth Navi LED Klima,47 890 € (TTC),4.8,+49 (0)5731 496944451,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline-Bluetooth/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/272538197.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen Golf Plus 1.6 TDI DSG Match Xenon Navigation PDC,11 490 € (TTC),4.7,+49 (0)371 23450257,"https://www.automobile.fr/Voiture/Volkswagen-Golf-Plus-1.6-TDI-DSG-Match-Xenon/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/267870952.html",,Chemnitztalstraße 75 DE-09114 Chemnitz Allemagne,
,Mercedes-Benz A 180 d Night StartPaket MBUX Totwinkel Navi,34 490 € (TTC),4.3,+49 (0)661 4108952325,"https://www.automobile.fr/Voiture/Mercedes-Benz-A-180-d-Night-StartPaket-MBUX/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/272538181.html",,Frankfurter Straße 125 DE-36043 Fulda Allemagne,
,Volkswagen T6 Multivan Highline DSG 4-Motion ACC Diff. Navi,59 990 € (TTC),4.8,+49 (0)5731 496947000,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline-DSG-4-Motion/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/272538182.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,"Volkswagen T6 Multivan Highline DSG,LED,ACC,StHzg,AHK,Navi",48 450 € (TTC),4.8,+49 (0)5731 496944033,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/272538183.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan DSG 4MOTON Leder AHK Bluetooth Navi,44 980 € (TTC),4.8,+49 (0)5731 496944006,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-DSG-4MOTON-Leder-AHK/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/272538184.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,"Volkswagen T6 Multivan DSG,LED, Bluetooth Navi Klima",43 980 € (TTC),4.8,+49 (0)5731 496942739,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-DSG,LED,-Bluetooth/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/272538187.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan Highline Bluetooth Navi LED Klima,48 490 € (TTC),4.8,+49 (0)5731 496946834,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline-Bluetooth/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/272538189.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan Highline DSG 4Motion UPE 76.700 Euro,48 990 € (TTC),4.8,+49 (0)5731 496908740,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline-DSG-4Motion/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/272538190.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan Highline Bluetooth Navi LED Klima,47 890 € (TTC),4.8,+49 (0)5731 496944451,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline-Bluetooth/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/272538197.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan Highline Bluetooth Navi LED Klima,48 980 € (TTC),4.8,+49 (0)5731 496942150,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline-Bluetooth/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/272538198.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Mercedes-Benz A 180 d Night StartPaket MBUX Totwinkel Navi,34 490 € (TTC),4.3,+49 (0)661 4108952325,"https://www.automobile.fr/Voiture/Mercedes-Benz-A-180-d-Night-StartPaket-MBUX/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/272538181.html",,Frankfurter Straße 125 DE-36043 Fulda Allemagne,
,Volkswagen T6 Multivan Highline DSG 4-Motion ACC Diff. Navi,59 990 € (TTC),4.8,+49 (0)5731 496947000,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline-DSG-4-Motion/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/272538182.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,"Volkswagen T6 Multivan Highline DSG,LED,ACC,StHzg,AHK,Navi",48 450 € (TTC),4.8,+49 (0)5731 496944033,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/272538183.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan DSG 4MOTON Leder AHK Bluetooth Navi,44 980 € (TTC),4.8,+49 (0)5731 496944006,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-DSG-4MOTON-Leder-AHK/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/272538184.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,"Volkswagen T6 Multivan DSG,LED, Bluetooth Navi Klima",43 980 € (TTC),4.8,+49 (0)5731 496942739,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-DSG,LED,-Bluetooth/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/272538187.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan Highline Bluetooth Navi LED Klima,48 490 € (TTC),4.8,+49 (0)5731 496946834,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline-Bluetooth/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/272538189.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan Highline DSG 4Motion UPE 76.700 Euro,48 990 € (TTC),4.8,+49 (0)5731 496908740,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline-DSG-4Motion/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/272538190.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan DSG 4MOTION Leder AHK Bluetooth Navi,44 890 € (TTC),4.8,+49 (0)5731 496944449,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-DSG-4MOTION-Leder-AHK/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/272538195.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan DSG 4MOTION Leder AHK Bluetooth Navi,44 890 € (TTC),4.8,+49 (0)5731 496944449,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-DSG-4MOTION-Leder-AHK/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/272538195.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Mercedes-Benz A 180 d Night StartPaket MBUX Totwinkel Navi,34 490 € (TTC),4.3,+49 (0)661 4108952325,"https://www.automobile.fr/Voiture/Mercedes-Benz-A-180-d-Night-StartPaket-MBUX/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/272538181.html",,Frankfurter Straße 125 DE-36043 Fulda Allemagne,
,Volkswagen T6 Multivan Highline DSG 4-Motion ACC Diff. Navi,59 990 € (TTC),4.8,+49 (0)5731 496947000,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline-DSG-4-Motion/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/272538182.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,"Volkswagen T6 Multivan Highline DSG,LED,ACC,StHzg,AHK,Navi",48 450 € (TTC),4.8,+49 (0)5731 496944033,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-Highline/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/272538183.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,Volkswagen T6 Multivan DSG 4MOTON Leder AHK Bluetooth Navi,44 980 € (TTC),4.8,+49 (0)5731 496944006,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-DSG-4MOTON-Leder-AHK/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/272538184.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
,"Volkswagen T6 Multivan DSG,LED, Bluetooth Navi Klima",43 980 € (TTC),4.8,+49 (0)5731 496942739,"https://www.automobile.fr/Voiture/Volkswagen-T6-Multivan-DSG,LED,-Bluetooth/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/272538187.html",,Vlothoer Strasse 128 DE-32547 Bad Oeynhausen Allemagne,
